Sale_ID,Sale_Date,City,Zip_Code,House_Type,Bedrooms,Bathrooms,Square_Feet,Year_Built,Condition,Sale_Price
d7c76a31-eb53-4e49-bcb7-1b66e66e4891,2022-02-13,Los Angeles,97218,Townhouse,4,2,4598,1955,Fair,849482
508e697e-a81f-4ad8-8d53-027fd50d107c,2022-04-04,New York,71971,Townhouse,5,1,2729,1988,Good,640504
e8c07dde-934e-4719-b3b4-206dcd612dd6,2025-01-21,Phoenix,20077,Mobile Home,3,2,3003,2001,Poor,789804
17ae84df-85df-401b-8399-d7bc2b746485,2025-07-28,Houston,31747,Mobile Home,5,2,3929,1972,Excellent,396184
2dbb6acf-7087-4377-be4d-6b15c7d944ee,2025-06-05,Houston,61177,Multi-Family,5,3,1188,1999,Poor,595932
b82621ce-0200-4051-8262-520ed570e5dc,2023-04-22,Chicago,51516,Condo,2,4,2612,1992,Fair,112021
e165a5f5-31ed-4bbb-aa93-3fadea2629e8,2020-10-09,Los Angeles,60689,Multi-Family,3,4,2147,1968,Fair,742485
0f42c659-7879-41db-bb63-5b9e77658ad7,2023-01-09,Dallas,17248,Mobile Home,3,2,894,2018,Poor,510115
5a6f7d3d-97ec-47bc-a5e2-8f6997f080cb,2025-07-14,Los Angeles,13337,Multi-Family,3,3,2585,2000,Good,92291
a5851968-6d09-44a8-b60d-aac2077c9f55,2021-11-05,San Jose,40682,Townhouse,5,2,3717,1960,Poor,478276
e3b21fe3-2a58-4674-b918-fc43fa7b55b9,2021-01-09,San Antonio,43781,Townhouse,4,2,2290,1961,Fair,444754
31235769-8fd7-43f2-b8f7-67eba8c4c519,2021-01-05,New York,37582,Mobile Home,3,2,1736,1957,Poor,353664
c809045e-03bf-4d75-b25d-cdf9a3db30f7,2021-08-03,New York,44820,Mobile Home,6,3,2664,1973,Excellent,75675
5863ad53-a528-41a9-91fc-aeb25bdd14d9,2022-03-10,Los Angeles,28759,Multi-Family,5,4,1607,1990,Excellent,723647
e1550e02-94d3-40a3-b1fd-c12de64ec763,2021-09-09,Houston,91061,Multi-Family,2,3,3114,1985,Good,312318
a1f36f6f-3352-4c4f-a89a-bca3c613076d,2023-09-13,Houston,18363,Townhouse,4,1,4126,2021,Poor,142268
6086e3ae-c70b-4c96-88c7-18ed284656c0,2021-01-26,Dallas,10833,Condo,6,3,1847,2004,Poor,347142
27efe6ac-e8dc-4a4b-9afe-3f3454086cdc,2022-10-07,San Jose,22141,Condo,6,3,4502,1958,Poor,758672
48d20253-5a1e-4138-8322-319117cadf97,2024-11-12,New York,22873,Mobile Home,2,3,2035,1996,Poor,979616
5cdb7bd0-bd08-42c3-aab2-dec5967ccaf1,2025-05-19,Dallas,82325,Multi-Family,4,3,1171,1964,Good,679698
6ffbfe5f-1a1f-45ba-9cd2-534cec020a27,2024-10-01,Houston,49061,Condo,5,4,2982,1997,Fair,387369
088f3fbd-8375-4a25-8096-82f41752f02b,2021-05-31,Dallas,67167,Multi-Family,1,1,1845,1991,Good,881246
9e39eb56-c596-4a37-a2af-96da730eb559,2021-04-23,San Antonio,56754,Single Family,4,4,2684,2009,Fair,397235
6dda8146-13a9-482d-895a-5bf3e6b0e66d,2022-10-11,Houston,76403,Townhouse,2,4,877,2019,Fair,362863
96fec1ec-2105-4bf8-8ba6-a6ec6c9d577a,2022-04-30,San Diego,22539,Multi-Family,6,3,2487,1961,Fair,179887
b5fed616-65b0-477c-864b-6991cb4ff71e,2024-03-29,San Jose,40496,Multi-Family,5,2,1865,1951,Poor,346063
7039c9dd-f635-4cf6-860e-762b1883c318,2024-05-22,Phoenix,35997,Multi-Family,4,2,1640,1956,Good,385299
cadc0344-d44c-4881-a28e-5eedf95a747b,2021-08-15,New York,28412,Condo,1,4,1517,1952,Fair,383713
55d6ab75-0636-48b9-a0fb-7566b2920cda,2024-04-30,Chicago,28766,Multi-Family,1,4,1485,1952,Excellent,877760
b4c1aa86-9172-46a5-8cf2-19000e783905,2021-07-28,San Antonio,33441,Single Family,3,3,3352,1976,Fair,251554
18f9915f-4d5c-440d-851d-0f3562dc12b3,2022-09-18,Philadelphia,46992,Condo,3,4,621,1989,Good,861050
d4aca15e-6394-4185-866b-fbcf39dd7cbd,2021-12-21,Phoenix,85397,Mobile Home,2,3,3791,1982,Poor,608963
60821179-f241-429e-b496-804eefd36b3e,2024-03-27,Chicago,34853,Mobile Home,4,2,2953,1950,Excellent,545010
9b6f148c-6ff7-4c65-a2fd-8a5846a4e6c9,2021-11-04,Houston,61353,Townhouse,4,2,1286,1957,Fair,855351
f729506e-7839-4c6d-b145-7d8312d4b99d,2025-06-01,Philadelphia,65166,Single Family,6,1,884,1981,Poor,840605
80169568-08f9-4c9e-b6af-e3a27718afde,2020-12-28,Los Angeles,64843,Multi-Family,6,2,4347,1997,Good,421513
d5496c16-60b8-4486-ab73-f868165132d7,2022-08-07,Los Angeles,27349,Single Family,6,4,1362,1953,Good,862832
d1f66901-0be7-48f0-b626-7f37c1af8b6d,2025-08-01,San Antonio,01227,Mobile Home,3,2,3028,2019,Excellent,231517
bdb58bfc-686f-42a6-8eb0-835e38b4b054,2022-12-25,Los Angeles,91529,Multi-Family,4,3,3107,1968,Excellent,120305
772dfee9-463b-4f03-b068-5228c1307548,2021-10-03,Philadelphia,24445,Single Family,4,2,628,1981,Fair,742924
214fcc54-ce2f-4ba8-b219-d6f4dde015bb,2023-04-04,Philadelphia,79088,Condo,1,1,1506,1958,Poor,489030
24221ebd-8a78-4cf7-8258-9c9976960205,2022-04-13,San Jose,67863,Multi-Family,3,2,3704,1961,Poor,522963
ebcb7fde-cde7-409c-82d8-b2fd124323fb,2020-08-28,Phoenix,84726,Condo,5,3,4599,1960,Good,663079
a49a25c6-f756-4ab4-8241-dd7724a05abc,2023-12-16,New York,04312,Single Family,3,3,3594,1995,Good,209034
343f52c8-6029-4530-a02b-1184cc3487bc,2022-01-16,San Diego,96906,Multi-Family,5,4,3106,1965,Fair,528108
bd1c30fc-92b4-42dc-a548-f7d79cadf920,2021-01-21,Dallas,82561,Townhouse,1,2,4209,1950,Fair,644821
1ba91ab4-d5a3-4408-ab3e-45dc450dce93,2024-11-11,Los Angeles,46425,Townhouse,2,3,4153,2012,Good,237256
ebc49a1a-d4bc-4499-a9bf-7d7df074adb6,2020-12-02,San Antonio,71943,Mobile Home,4,1,2053,1970,Good,526128
1d64106e-55df-4091-a7fb-3dc8a413c8e2,2020-10-08,Los Angeles,68844,Multi-Family,1,4,3956,1979,Poor,940023
760fbf17-f9b9-445c-937b-4681b34b06cc,2023-02-12,Dallas,30172,Single Family,4,1,1115,1962,Poor,715938
baa5c033-f857-4bb1-a6be-bdff09001ecb,2024-11-03,Phoenix,36048,Townhouse,6,2,638,1983,Poor,705348
04185cab-e66f-4002-824b-9bf535a56c7f,2024-03-26,San Jose,82793,Mobile Home,2,2,3942,1953,Fair,723984
61bf7f53-149c-4908-8c84-4a99a1226ac4,2021-09-27,Philadelphia,20310,Multi-Family,2,2,1486,1977,Poor,875626
83ebc3e8-2988-49ff-aa79-e8cfb908333d,2022-06-25,San Jose,43877,Townhouse,1,4,3444,2008,Excellent,422047
6292de3a-6089-49b3-8f37-a230955b3b8d,2024-03-11,Houston,72051,Multi-Family,2,3,2804,1976,Excellent,443605
2976a86f-199d-4c96-8e07-4db89231b277,2025-05-30,Los Angeles,86587,Mobile Home,5,4,1698,2018,Poor,411447
